372127,1
372346,0
372347,1
372362,0
372364,1
372374,0
372375,1
372379,0
372380,1
372421,0
372438,1
372602,0
372603,1
372631,0
372632,1
372635,0
372636,1
372691,0
372698,1
372700,0
372724,1
372966,0
372967,1
372968,0
372973,1
372988,0
372991,1
372994,0
372996,1
373010,0
373011,1
373219,0
373220,1
373273,0
373274,1
373279,0
373281,1
373290,0
373293,1
373299,0
373305,1
373308,0
373309,1
373311,0
373312,1
373315,0
373316,1
373318,0
373319,1
373321,0
373322,1
373333,0
373334,1
373335,0
373336,1
373359,0
373367,1
373399,0
373403,1
373406,0
373407,1
373423,0
373427,1
373451,0
373452,1
373471,0
373472,1
373502,0
373503,1
373516,0
373517,1
373557,0
373558,1
373559,0
373561,1
373594,0
373597,1
373598,0
373600,1
373873,0
373874,1
